n_exteroceptor,vision_distance,p,n_complete,alpha_size,alpha_duration,ks_size,ks_duration,D
4,50,0.019632,169,2.426953,2.654517,0.033798,0.030881,1.6461489999999999
4,50,0.020468,353,2.580249,2.845312,0.099198,0.077834,2.1025929999999997
4,50,0.021303,93,2.569629,2.869629,0.017466,0.038767,1.9954910000000001
4,50,0.022139,92,2.782471,3.0,0.005874,0.015919,2.304264
4,50,0.022974,84,2.193311,2.392749,0.164352,0.12407,1.3744819999999998
4,50,0.02381,85,1.386184,1.536625,0.172098,0.130899,0.880188
8,50,0.007937,100,,,,,
8,50,0.008772,100,,,,,
8,50,0.009607,100,,,,,
8,50,0.010443,100,,,,,
8,50,0.011278,101,,,,,
8,50,0.012114,100,,,,,
8,50,0.012949,102,,,,,
8,50,0.013784,104,,,,,
8,50,0.01462,112,,,,,
8,50,0.015455,134,2.652759,2.712891,0.114316,0.377303,2.357269
8,50,0.016291,215,2.37605,2.492212,0.041364,0.02748,1.437106
8,50,0.017126,720,1.523731,1.723252,0.018151,0.034114,0.35274399999999995
8,50,0.017962,355,1.83104,2.22179,0.042797,0.0479,0.643527
8,50,0.018797,205,2.025602,2.276807,0.012629,0.013986,0.829024
8,50,0.019632,161,2.182983,2.405713,0.03867,0.059636,1.1870020000000001
8,50,0.020468,113,2.875049,3.0,0.095718,0.01864,2.4894070000000004
8,50,0.021303,92,3.0,,0.048527,,
8,50,0.022139,79,2.456323,3.0,0.058705,0.028852,2.0438799999999997
8,50,0.022974,82,2.570947,2.657666,0.099394,0.152277,1.9802839999999997
8,50,0.02381,84,1.949514,2.020858,0.193965,0.206348,0.8706849999999999
16,50,0.007937,100,,,,,
16,50,0.008772,100,,,,,
16,50,0.009607,101,,,,,
16,50,0.010443,100,,,,,
16,50,0.011278,101,,,,,
16,50,0.012114,103,,,,,
16,50,0.012949,101,,,,,
16,50,0.013784,104,3.0,3.0,0.043093,0.043093,2.5861859999999997
16,50,0.01462,111,3.0,,0.028068,,
16,50,0.015455,126,2.722485,2.84751,0.016204,0.018993,2.105192
16,50,0.016291,189,2.280908,2.431934,0.032765,0.019098,1.2647050000000002
16,50,0.017126,410,1.766266,1.913065,0.029757,0.037452,0.42040999999999984
16,50,0.017962,402,1.700873,2.166811,0.049384,0.049223,0.4662910000000001
16,50,0.018797,223,1.876483,2.080669,0.026178,0.033907,0.5172369999999997
16,50,0.019632,146,2.405566,2.652759,0.013555,0.015841,1.587721
16,50,0.020468,113,2.364624,2.625732,0.030172,0.028658,1.5491860000000004
16,50,0.021303,76,2.735889,3.0,0.11391,0.017726,2.367525
16,50,0.022139,74,2.689966,2.988647,0.033081,0.020149,2.231843
16,50,0.022974,71,2.722705,,0.181929,,
16,50,0.02381,66,2.736061,2.691564,0.125481,0.10283,2.155936
32,50,0.007937,100,,,,,
32,50,0.008772,100,,,,,
32,50,0.009607,100,,,,,
32,50,0.010443,100,,,,,
32,50,0.011278,100,,,,,
32,50,0.012114,104,,,,,
32,50,0.012949,101,3.0,,0.088885,,
32,50,0.013784,105,3.0,3.0,0.029824,0.063331,2.593155
32,50,0.01462,104,3.0,3.0,0.025643,0.025643,2.551286
32,50,0.015455,114,2.645288,2.721899,0.013531,0.022228,1.9029459999999998
32,50,0.016291,129,2.492798,2.586255,0.015427,0.026853,1.6213330000000001
32,50,0.017126,219,2.009411,2.358423,0.022132,0.032929,0.9228950000000002
32,50,0.017962,466,1.443046,1.554298,0.043041,0.036728,0.582425
32,50,0.018797,214,1.755067,1.917921,0.041993,0.053775,0.43291399999999997
32,50,0.019632,147,2.044938,2.187378,0.038126,0.068632,0.839074
32,50,0.020468,98,2.17998,2.411572,0.017187,0.021524,1.1302630000000002
32,50,0.021303,66,2.411572,2.663892,0.015622,0.035763,1.6268490000000002
32,50,0.022139,74,2.747021,2.957593,0.031307,0.013391,2.249312
32,50,0.022974,57,2.479687,2.813232,0.101077,0.073134,1.9671300000000005
32,50,0.02381,64,2.947924,1.59053,0.159781,0.161198,2.178373
2,60,0.007937,100,,,,,
2,60,0.008772,100,,,,,
2,60,0.009607,100,,,,,
2,60,0.010443,100,,,,,
2,60,0.011278,101,,,,,
2,60,0.012114,100,,,,,
2,60,0.012949,101,,,,,
2,60,0.013784,104,3.0,,0.018638,,
2,60,0.01462,118,3.0,,0.030206,,
2,60,0.015455,147,2.93584,3.0,0.026938,0.019355,2.4821329999999997
2,60,0.016291,274,2.175,2.358325,0.024988,0.026716,1.0850289999999996
2,60,0.017126,454,1.67602,1.855817,0.049315,0.047626,0.417144
2,60,0.017962,258,2.081117,2.30603,0.030296,0.044642,0.9620849999999996
2,60,0.018797,140,2.290723,2.525464,0.045028,0.043715,1.4049299999999998
2,60,0.019632,132,2.789648,3.0,0.016428,0.018141,2.324217
2,60,0.020468,96,3.0,,0.011843,,
2,60,0.021303,77,2.965576,,0.010923,,
2,60,0.022139,75,,,,,
2,60,0.022974,57,,,,,
2,60,0.02381,52,,,,,
4,60,0.007937,100,,,,,
4,60,0.008772,100,,,,,
4,60,0.009607,100,,,,,
4,60,0.010443,101,,,,,
4,60,0.011278,100,,,,,
4,60,0.012114,100,,,,,
4,60,0.012949,101,3.0,3.0,0.078984,0.078984,2.6579680000000003
4,60,0.013784,109,,,,,
4,60,0.01462,110,3.0,3.0,0.049911,0.059002,2.608913
4,60,0.015455,151,2.446069,2.633276,0.02709,0.024093,1.630528
4,60,0.016291,265,2.098389,2.253882,0.032883,0.033056,0.91821
4,60,0.017126,406,1.695802,2.085132,0.053783,0.048754,0.3834710000000003
4,60,0.017962,218,2.030125,2.264429,0.044818,0.04653,0.8859019999999997
4,60,0.018797,137,2.222241,2.543628,0.033981,0.032017,1.331867
4,60,0.019632,115,3.0,3.0,0.028962,0.046353,2.575315
4,60,0.020468,95,2.79668,2.939429,0.011886,0.023376,2.271371
4,60,0.021303,72,3.0,,0.084759,,
4,60,0.022139,61,,,,,
4,60,0.022974,73,,,,,
4,60,0.02381,50,,,,,
8,60,0.007937,100,,,,,
8,60,0.008772,100,,,,,
8,60,0.009607,100,,,,,
8,60,0.010443,100,,,,,
8,60,0.011278,104,,,,,
8,60,0.012114,102,,,,,
8,60,0.012949,103,,,,,
8,60,0.013784,104,3.0,,0.044873,,
8,60,0.01462,110,,,,,
8,60,0.015455,148,2.893506,,0.019299,,
8,60,0.016291,277,2.097803,2.280615,0.013642,0.032393,0.924453
8,60,0.017126,395,2.020531,2.50801,0.043651,0.039389,1.1115810000000002
8,60,0.017962,209,1.977053,2.39707,0.024989,0.031039,0.9301509999999998
8,60,0.018797,121,2.587646,2.876807,0.014555,0.012409,1.9914169999999998
8,60,0.019632,120,2.49397,2.797192,0.01914,0.051444,1.861746
8,60,0.020468,83,2.800415,,0.312079,,
8,60,0.021303,74,3.0,,0.059985,,
8,60,0.022139,63,,,,,
8,60,0.022974,53,,,,,
8,60,0.02381,50,,,,,
16,60,0.007937,100,,,,,
16,60,0.008772,100,,,,,
16,60,0.009607,100,,,,,
16,60,0.010443,100,,,,,
16,60,0.011278,100,,,,,
16,60,0.012114,100,,,,,
16,60,0.012949,102,,,,,
16,60,0.013784,104,3.0,3.0,0.033477,0.035258,2.5687349999999998
16,60,0.01462,116,3.0,,0.038804,,
16,60,0.015455,124,2.877979,2.98103,0.023918,0.030897,2.413824
16,60,0.016291,199,2.503345,2.859155,0.033648,0.038861,1.9350089999999998
16,60,0.017126,420,1.596697,1.751017,0.015569,0.021958,0.38320699999999996
16,60,0.017962,214,2.183072,2.590063,0.030053,0.03128,1.334468
16,60,0.018797,141,2.261792,2.500269,0.037158,0.022095,1.3213139999999997
16,60,0.019632,96,2.415308,,0.049393,,
16,60,0.020468,74,2.838428,3.0,0.024307,0.023564,2.3862989999999997
16,60,0.021303,71,3.0,,0.019208,,
16,60,0.022139,56,,,,,
16,60,0.022974,43,,,,,
16,60,0.02381,42,,,,,
32,60,0.007937,100,,,,,
32,60,0.008772,100,,,,,
32,60,0.009607,100,,,,,
32,60,0.010443,101,,,,,
32,60,0.011278,102,,,,,
32,60,0.012114,100,,,,,
32,60,0.012949,100,3.0,3.0,0.014104,0.014104,2.5282080000000002
32,60,0.013784,103,2.963892,3.0,0.074675,0.022462,2.561029
32,60,0.01462,112,2.673779,2.759692,0.03001,0.045182,2.008663
32,60,0.015455,132,2.693628,2.864648,0.018469,0.039465,2.1162099999999997
32,60,0.016291,150,2.218945,2.323315,0.011543,0.030772,1.0845750000000003
32,60,0.017126,327,1.545691,2.019442,0.044511,0.052473,0.1621170000000001
32,60,0.017962,207,1.717935,2.051145,0.041743,0.052991,0.36381399999999997
32,60,0.018797,144,2.058568,2.249634,0.017324,0.02501,0.8505360000000001
32,60,0.019632,98,2.750391,2.945435,0.018085,0.026138,2.240049
