p,vision_distance,alpha_size,alpha_duration,ks_duration,ks_size,D
0.024645,100,,,,,
0.02548,100,,,,,
0.026316,100,,,,,
0.027151,100,,,,,
0.027987,100,,,,,
0.007937,105,,,,,
0.008772,105,,,,,
0.009607,105,,,,,
0.010443,105,3.0,3.0,0.068093,0.068093,2.6361860000000004
0.011278,105,3.0,,,0.061297,
0.012114,105,2.816382,2.930054,0.0363,0.018854,2.30159
0.012949,105,2.946753,2.993848,0.035506,0.028877,2.504984
0.013784,105,2.736768,2.800781,0.031541,0.024854,2.093944
0.01462,105,2.168481,2.3146,0.027762,0.010006,1.020849
0.015455,105,1.414742,1.529992,0.040031,0.049129,0.644426
0.016291,105,2.339037,2.796313,0.03245,0.024715,1.692515
0.017126,105,2.430396,2.61936,0.048958,0.044686,1.6434
0.017962,105,3.0,3.0,0.03357,0.015113,2.548683
0.018797,105,,,,,
0.019632,105,,,,,
0.020468,105,,,,,
0.021303,105,,,,,
0.022139,105,,,,,
0.022974,105,,,,,
0.02381,105,,,,,
0.024645,105,,,,,
0.02548,105,,,,,
0.026316,105,,,,,
0.027151,105,,,,,
0.027987,105,,,,,
0.007937,110,,,,,
0.008772,110,,,,,
0.009607,110,,,,,
0.010443,110,,,,,
0.011278,110,3.0,3.0,0.054442,0.03995,2.594392
0.012114,110,3.0,3.0,0.040131,0.035391,2.5755220000000003
0.012949,110,2.65752,2.719409,0.034726,0.023515,1.93517
0.013784,110,2.443359,2.534692,0.034745,0.02933,1.5421260000000003
0.01462,110,2.053458,2.171704,0.063856,0.038581,0.8275990000000001
0.015455,110,1.387969,1.501965,0.051034,0.062079,0.723179
0.016291,110,2.124463,2.311377,0.083666,0.061578,1.0810839999999997
0.017126,110,2.540552,,,0.069798,
0.017962,110,2.917017,,,0.024336,
0.018797,110,3.0,,,0.056982,
0.019632,110,,,,,
0.020468,110,,,,,
0.021303,110,,,,,
0.022139,110,,,,,
0.022974,110,,,,,
0.02381,110,,,,,
0.024645,110,,,,,
0.02548,110,,,,,
0.026316,110,,,,,
0.027151,110,,,,,
0.027987,110,,,,,
0.007937,115,3.0,3.0,0.095648,0.095648,2.6912960000000004
0.008772,115,,,,,
0.009607,115,,,,,
0.010443,115,3.0,,,0.044592,
0.011278,115,3.0,3.0,0.02619,0.023814,2.550004
0.012114,115,3.0,,,0.059602,
0.012949,115,2.674438,2.730615,0.05144,0.041393,1.9978859999999996
0.013784,115,2.377002,2.481006,0.051662,0.031571,1.441241
0.01462,115,1.963841,2.102051,0.063233,0.028221,0.6573459999999999
0.015455,115,1.618608,1.764456,0.035654,0.066801,0.45660700000000004
0.016291,115,2.238794,2.458887,0.031876,0.026208,1.2557649999999998
0.017126,115,2.931152,3.0,0.012995,0.010262,2.454409
0.017962,115,3.0,3.0,0.061297,0.041879,2.603176
0.018797,115,3.0,,,0.048029,
0.019632,115,,,,,
0.020468,115,,,,,
0.021303,115,,,,,
0.022139,115,,,,,
0.022974,115,,,,,
0.02381,115,,,,,
0.024645,115,,,,,
0.02548,115,,,,,
0.026316,115,,,,,
0.027151,115,,,,,
0.027987,115,,,,,
0.007937,120,,,,,
0.008772,120,,,,,
0.009607,120,,,,,
0.010443,120,3.0,,,0.049866,
0.011278,120,3.0,3.0,0.046733,0.046733,2.5934660000000003
0.012114,120,2.970996,3.0,0.034738,0.030709,2.536443
0.012949,120,2.615112,2.686743,0.049344,0.035918,1.8871169999999997
0.013784,120,2.210596,2.321338,0.038189,0.025724,1.0958469999999998
0.01462,120,1.896553,2.031118,0.038436,0.029121,0.4952280000000001
