vision_distance,n_agents,n_neurons,p,sigma_eff_mean,sigma_eff_std,susceptibility_mean,susceptibility_std,entropy_mean,entropy_std
30,256,64,0.0112782,0.016250000428408386,0.01890675284319162,0.0010363725246861576,4.9498450209053854e-05,0.011754811415448785,0.0004527405736376505
30,256,64,0.01211362,0.017916666995733976,0.01630333159041159,0.0010363825305830688,3.479692386781437e-05,0.011758592678233981,0.0003250817450228514
30,256,64,0.01294904,0.018750000279396772,0.017455300314815413,0.0010363875597249716,3.480588844836022e-05,0.01176048326306045,0.00032837965196851564
30,256,64,0.01378446,0.03208333430811763,0.025586862875254145,0.0010662875429261476,5.521521699278236e-05,0.012038891110569239,0.0005155370107096803
30,256,64,0.01461988,0.0391666672192514,0.030373828599045843,0.0010962025437038392,9.777834839552627e-05,0.01218875260092318,0.0006553142779000147
30,256,64,0.0154553,0.07068055681884289,0.04776465239787531,0.001190682500600815,0.00014260300831599358,0.013084175949916243,0.001209506851484257
30,256,64,0.01629073,0.12199965864419937,0.04705306609406904,0.0015230024815537035,0.00032662450250067504,0.015415624808520078,0.0019205578147676048
30,256,64,0.01712615,0.22859681397676468,0.07156205329347663,0.0055870927055366336,0.006129569232179598,0.02899161521345377,0.012822826879306965
30,256,64,0.01796157,0.3874871589243412,0.10124825901557898,0.22218616930767893,0.1747983309187433,0.30695124827325343,0.183689760699045
30,256,64,0.01879699,0.5534954413771629,0.09522919931718288,1.2509244829416275,0.52735438476075,1.1864222303032874,0.3015348764991132
30,256,64,0.01963241,0.6677193880081177,0.12346561142801259,1.9505294948816299,0.6923788245098558,1.6621809363365174,0.3119357242850715
30,256,64,0.02046784,0.7279604405164719,0.06422954177007895,2.2034024000167847,0.5045348768115131,1.8604359924793243,0.1752986995608341
30,256,64,0.02130326,0.7630001842975617,0.0835359986798609,2.9221506237983705,1.2443495208176263,1.995281344652176,0.27322758670497294
30,256,64,0.02213868,0.7780006259679795,0.08877790969602921,2.366865020990372,0.7616652026979208,1.954816859960556,0.25451646686371215
30,256,64,0.0229741,0.7930402845144272,0.07124049670768486,2.479498493671417,0.8453029680209503,1.9982356250286102,0.22149350967933584
30,256,64,0.02380952,0.7905615627765655,0.07687039417375409,2.4931701600551603,0.7341159358980797,2.008145332336426,0.2491522051291424
30,256,64,0.02464495,0.8056040167808532,0.0921422935998191,2.7589971721172333,1.0659860651255888,2.1092024743556976,0.3543908769799221
30,256,64,0.02548037,0.7956128776073456,0.09740197548136997,2.7344399064779283,1.322959760209088,2.0042762100696563,0.29077049315825265
30,256,64,0.02631579,0.8505983412265777,0.12047654119057336,2.5193078339099886,1.3493342893735223,2.0197470843791963,0.30837290942335155
30,256,64,0.02715121,0.9006453543901444,0.054821095399873655,2.7036985218524934,1.2914677581029095,2.106785762310028,0.2504294150629199
30,256,64,0.02798663,0.8606560975313187,0.0800510745786358,2.3332077503204345,0.9930256635025054,2.040723663568497,0.27368981986794644
35,256,64,0.00793651,0.006666666828095913,0.01166666698242937,0.001013950037304312,2.7740034947800657e-05,0.011546950833871961,0.0002561552526707902
35,256,64,0.00877193,0.00416666679084301,0.010034662478986671,0.0010139650432392955,4.490609772066211e-05,0.011483294190838933,0.00018076282288510224
35,256,64,0.00960735,0.002500000037252903,0.010897247521233321,0.0010039850429166108,2.1729124456936684e-05,0.01145477844402194,0.000205005601960347
35,256,64,0.01044277,0.005000000074505806,0.010000000149011612,0.0010089700343087315,1.9939988851547243e-05,0.01150180995464325,0.00018812604248523714
35,256,64,0.0112782,0.019166667200624942,0.022836983510946013,0.0010388750466518103,4.8831604536533647e-05,0.011782108386978508,0.00045662219372216207
35,256,64,0.01211362,0.014166667126119137,0.02237620352983347,0.0010289050289429725,4.8318981750355016e-05,0.011688045365735889,0.0004513582001197133
35,256,64,0.01294904,0.021250000409781932,0.019803724945065673,0.0010413725511170923,3.948864037547781e-05,0.011807514727115631,0.00037255950334446714
35,256,64,0.01378446,0.04166666781529784,0.04265494751261395,0.0010937100218143315,0.000102054803177929,0.012230126466602088,0.0008281257236656105
35,256,64,0.01461988,0.05416666902601719,0.037960141943989854,0.0011285750078968704,9.509256189782337e-05,0.01254800297319889,0.000808093630681525
35,256,64,0.0154553,0.09385416926816106,0.04093882527191598,0.0012579749920405448,0.0001608548348849588,0.013650038512423635,0.0012633423797321353
35,256,64,0.01629073,0.13594906404614449,0.054537151087148794,0.0016376924701035022,0.0004626011796581481,0.015839018998667596,0.0024115605990712306
35,256,64,0.01712615,0.2805217981338501,0.06215729054943713,0.00951892783632502,0.007696118848560908,0.041056709550321105,0.017634476076657073
35,256,64,0.01796157,0.5220457196235657,0.10647990359565299,1.1510629177093505,0.5654741885047739,0.7891177773475647,0.26199286368953995
35,256,64,0.01879699,0.6669835865497589,0.09317380784046828,7.761728405952454,3.207743300687509,2.042489528656006,0.3388949546744126
35,256,64,0.01963241,0.7467583000659943,0.11628499697110771,10.548307037353515,4.473804310105193,2.4114064633846284,0.29545394842782413
35,256,64,0.02046784,0.8456678539514542,0.0625629121858463,13.015491485595703,5.136420716215388,2.754862892627716,0.24493737753039388
35,256,64,0.02130326,0.8457027614116669,0.09995974675307233,16.33220729827881,7.135361449542843,2.853201115131378,0.3564738016970036
35,256,64,0.02213868,0.875716719031334,0.07504382931861112,16.32647535800934,6.843500611974858,2.8022764563560485,0.3092364526973234
